SoC;OCV
0;2.1
0.01;2.6
0.02;2.75
0.03;2.9
0.04;2.987272727
0.05;3.074545455
0.06;3.147272727
0.07;3.158787879
0.08;3.17030303
0.09;3.181818182
0.1;3.193333333
0.11;3.204848485
0.12;3.216363636
0.13;3.220227273
0.14;3.224090909
0.15;3.227954545
0.16;3.231818182
0.17;3.235681818
0.18;3.239545455
0.19;3.243409091
0.2;3.247272727
0.21;3.24969697
0.22;3.252121212
0.23;3.254545455
0.24;3.256969697
0.25;3.259393939
0.26;3.261818182
0.27;3.264242424
0.28;3.266666667
0.29;3.269090909
0.3;3.271515152
0.31;3.273939394
0.32;3.276363636
0.33;3.277878788
0.34;3.279393939
0.35;3.280909091
0.36;3.282424242
0.37;3.283939394
0.38;3.285454545
0.39;3.286969697
0.4;3.288484848
0.41;3.29
0.42;3.291515152
0.43;3.293030303
0.44;3.294545455
0.45;3.295714286
0.46;3.296883117
0.47;3.298051948
0.48;3.299220779
0.49;3.30038961
0.5;3.301558442
0.51;3.302727273
0.52;3.303896104
0.53;3.305064935
0.54;3.306233766
0.55;3.307402597
0.56;3.308571429
0.57;3.30974026
0.58;3.310909091
0.59;3.31222
0.6;3.313530909
0.61;3.314841818
0.62;3.316152727
0.63;3.317463636
0.64;3.318774545
0.65;3.320085455
0.66;3.321396364
0.67;3.322707273
0.68;3.324018182
0.69;3.325329091
0.7;3.32664
0.71;3.327950909
0.72;3.329261818
0.73;3.330572727
0.74;3.331883636
0.75;3.333194545
0.76;3.334545455
0.77;3.336083916
0.78;3.337622378
0.79;3.339160839
0.8;3.340699301
0.81;3.342237762
0.82;3.343776224
0.83;3.345314685
0.84;3.346853147
0.85;3.348391608
0.86;3.34993007
0.87;3.351468531
0.88;3.353006993
0.89;3.354545455
0.9;3.356060606
0.91;3.357575758
0.92;3.359090909
0.93;3.360606061
0.94;3.362121212
0.95;3.363636364
0.96;3.389090909
0.97;3.389090909
0.98;3.4727273
0.99;3.5
1;3.51
