Code WWMF,Legende WWMF,Code W1
10,Sable,[0]
15,Trombe ,[0]
30,Brume/brouillard,"[1,2,3]"
31,Brume ,[1]
32,Brouillard,[2]
33,Brouillard dense,[3]
38,Brouillard givrant,"[4,5]"
39,Brouillard dense givrant,[6]
40,Bruine,[7]
49,Bruine verglacante,[8]
50,Pluie,"[9,10,11,12]"
51,Pluie faible,[9]
52,Pluie moderee,[10]
53,Pluie forte,"[11,12]"
58,Pluie et neige melees,[14]
59,Pluie verglacante,[8]
60,Neige ,"[13,16,17,21,22]"
61,Neige faible,[13]
62,Neige moderee,[16]
63,Neige forte,[17]
70,Averses ,[19]
71,Rares averses,[18]
72,Rares averses avec ciel couvert,[18]
73,Averses avec ciel couvert,[19]
77,Averses de pluie et neige melees,[20]
78,Averses de pluie et neige melees avec ciel couvert,[20]
80,Averses de neige,[22]
81,Rares averses de neige,[21]
82,Rares averses de neige avec ciel couvert,[21]
83,Averses de neige avec ciel couvert,[22]
84,Averses de gresil,[23]
85,Averses de grele,[23]
90,Orages,"[24,25,12,32]"
97,Orages avec neige,"[24,25]"
98,Orages avec grele,"[28, 29]"
99,Orages violents,"[26,27,28,29]"
